category_id,sku,price
11,56433,187.48
11,53659,258.32
11,52992,187.48
11,52542,421.65
11,49185,41.23
11,48981,258.32
11,48449,291.65
11,47801,249.98
11,42996,249.98
11,35420,89.15
11,32924,249.98
11,25967,241.65
11,24018,215.82
11,23851,285.82
11,23180,241.65
11,16494,291.65
11,13086,308.32
11,12048,26.23
11,53545,24.98
11,66474,17.90
11,80861,14.57
11,91776,26.23
11,50686,19.15
11,67946,26.23
11,59307,24.98
11,10029,24.98
11,31447,18.73
11,84699,25.40
11,38913,29.57
11,21519,39.98
11,19406,22.48
11,66400,58.32
11,85421,33.32
11,43285,36.66
11,28607,28.32
11,17405,53.32
11,11883,33.32
11,19523,38.32
11,32351,38.32
11,40550,54.99
11,37593,40.82
11,82954,34.99
11,38625,41.65
11,96993,36.66
11,89693,39.16
11,70585,44.15
11,50306,41.25
11,46629,64.98
11,40310,44.15
11,24664,40.82
11,18937,38.32
11,14941,30.82
11,85781,37.48
11,95737,37.48
11,28384,47.23
11,42206,35.82
11,61368,53.32
11,97513,38.98
11,85279,59.23
11,70902,8.32
11,98383,9.15
11,26452,20.82
11,82199,16.65
11,64403,26.98
11,77410,30.82
11,94015,33.32
11,60283,23.32
11,92643,26.98
11,14064,12.48
11,59441,44.98
11,52515,74.98
11,91742,45.82
11,77174,49.98
11,53820,1.57
11,18542,59.98
11,90412,59.98
11,13141,32.48
11,22723,44.15
11,65911,28.48
11,34776,45.82
11,62548,24.98
11,90734,19.15
11,11605,29.15
11,58089,30.82
11,60081,18.32
11,20761,37.48
11,57544,37.48
11,33830,45.82
11,35537,37.48
11,51856,36.65
11,25022,24.98
11,41318,66.65
11,75353,29.98
11,18148,52.48
11,20561,66.65
11,87748,19.15
11,78906,43.32
11,87476,37.48
11,77855,23.32
11,49723,37.48
11,21775,58.32
11,72538,95.82
11,92468,58.32
11,43756,122.48
11,72809,37.48
11,52104,33.32
11,61093,49.98
11,31667,44.15
11,27475,58.32
11,65120,87.48
11,18521,48.32
11,31143,66.65
11,21043,104.98
11,32935,65.82
11,43472,69.73
11,11754,56.65
11,43886,30.82
11,54781,89.98
11,99339,139.98
11,63281,74.98
11,76111,24.98
11,61940,66.65
11,18193,49.98
11,65423,70.48
11,41808,78.73
11,92958,58.32
11,42490,35.82
11,82182,74.15
11,49689,77.98
11,79052,82.48
11,95660,66.65
11,69496,61.65
11,90391,74.98
11,12924,59.98
11,16846,34.98
11,28212,87.48
11,95795,112.48
11,62713,74.98
11,94036,24.98
11,15689,83.32
11,70250,166.65
11,26684,58.32
11,22997,74.98
11,29312,51.65
11,12948,54.15
11,35655,49.98
11,16366,83.32
11,72430,170.82
11,36516,84.17
11,14782,37.48
11,55871,102.48
11,94273,74.98
11,24284,54.15
11,53767,74.15
11,91817,166.65
11,23078,91.65
11,38999,149.98
11,82455,70.82
11,25114,66.65
11,69979,174.98
11,64587,158.32
11,31400,186.65
11,70366,58.32
11,86316,64.98
11,83771,70.82
11,75218,121.65
11,56897,166.65
11,97079,108.32
11,99373,110.82
11,98127,37.49
11,97183,43.74
11,96516,106.65
11,94893,34.37
11,94706,10.82
11,93368,137.48
11,91314,59.98
11,89536,46.87
11,83848,12.49
11,83056,112.49
11,76471,49.98
11,73047,40.82
11,68612,31.24
11,65854,82.48
11,61744,16.87
11,61040,49.99
11,57960,23.32
11,57225,53.12
11,55956,224.98
11,55752,62.48
11,48009,31.24
11,42024,27.48
11,38934,24.99
11,34918,97.48
11,34656,56.24
11,31425,62.49
11,31050,108.32
11,29566,18.32
11,26287,15.62
11,25879,12.49
11,23580,41.24
11,18464,28.12
11,18446,106.24
11,18179,34.37
11,16583,112.48
11,10064,87.49
11,51332,6.07
11,45535,7.07
11,78439,6.07
11,66358,62.48
11,62751,66.65
11,60966,14.15
11,46771,19.15
11,47132,11.65
11,46222,83.32
11,42548,15.82
11,77459,24.15
11,68036,12.48
11,52184,191.65
11,58966,172.48
11,34781,201.65
11,33553,16.65
11,46730,58.32
11,90768,145.82
11,78505,182.48
11,64740,145.82
11,88810,19.15
11,82366,14.15
11,50897,145.82
11,30578,229.98
11,63101,19.15
11,80518,66.65
11,54418,14.15
11,42749,19.15
11,27841,182.48
11,43036,172.48
11,34819,172.48
11,31642,13.32
11,39841,124.98
11,85860,116.65
11,58571,201.65
11,69343,145.82
11,19245,134.15
11,56746,141.65
11,50309,216.65
11,17236,19.15
11,11450,191.65
11,38459,174.98
11,71379,19.98
11,73282,14.15
11,93358,191.65
11,93820,191.65
11,51316,174.98
11,45465,258.32
11,45383,258.32
11,25279,79.98
11,46029,24.98
11,21995,157.48
11,89183,124.98
11,35195,201.65
11,36241,62.48
11,70472,141.65
11,49409,183.32
11,39261,137.48
11,51271,54.15
11,76423,145.82
11,54439,166.65
11,61678,145.82
11,98815,29.15
11,25130,208.32
11,30785,249.15
11,10914,145.82
11,71081,24.15
11,22253,191.65
11,33719,166.65
11,91176,145.82
11,18721,258.32
11,85026,79.98
11,94599,241.65
11,40359,18.32
11,50807,208.32
11,79355,158.32
11,58486,124.98
11,50654,145.82
11,59801,120.82
11,98740,145.82
11,70378,182.48
11,73062,191.65
11,67496,216.65
11,82453,258.32
11,97338,129.15
11,94505,201.65
11,96849,266.65
11,64271,258.32
11,89242,268.32
11,80380,172.48
11,65387,79.98
11,75110,19.15
11,73910,154.15
11,27329,157.48
11,43272,79.15
11,70387,95.82
11,49745,144.15
11,19963,145.82
11,68774,183.32
11,52102,162.48
11,86672,183.32
11,82160,116.65
11,22991,99.98
11,60462,158.32
11,44455,20.82
11,97624,145.82
11,20324,120.82
11,12029,166.65
11,74280,183.32
11,14365,220.82
11,90947,258.32
11,65609,116.65
11,39537,145.82
11,54239,158.32
11,67464,70.82
11,40430,156.65
11,82643,316.65
11,50229,116.65
11,91110,174.98
11,67577,183.32
11,83739,29.15
11,44731,141.65
11,20656,156.65
11,25379,99.98
11,88638,258.32
11,18217,191.65
11,80200,224.98
11,39305,278.32
11,85647,158.32
11,98071,156.65
11,74843,287.48
11,24224,157.48
11,56764,224.98
11,24757,116.65
11,56593,283.32
11,67798,158.32
11,78687,97.48
11,62882,156.65
11,42151,19.15
11,40564,183.32
11,95187,239.98
11,58027,104.15
11,70030,266.65
11,82699,224.98
11,79918,258.32
11,57037,249.98
11,49737,358.32
11,56884,83.32
11,75484,29.15
11,90719,79.98
11,89969,145.82
11,78215,124.98
11,71896,83.32
11,99825,79.98
11,98615,483.32
11,98545,258.32
11,98151,397.48
11,97546,483.32
11,97223,124.98
11,96745,504.15
11,96655,258.32
11,96304,412.48
11,95653,483.32
11,95489,310.82
11,95030,156.65
11,94323,164.98
11,94051,154.15
11,93729,483.32
11,93393,157.48
11,93359,144.15
11,93097,258.32
11,93069,325.82
11,92929,158.32
11,92844,397.48
11,92839,412.48
11,92672,483.32
11,92655,412.48
11,92619,145.82
11,92576,412.48
11,92478,79.98
11,92282,157.48
